===== ESP32 BENCHMARK RESULTS =====
WiFi RSSI: 0 dBm
Free Heap: 248464 bytes

Running Key Generation benchmark...
  Iteration 1: 144 ms
  Iteration 2: 144 ms
  Iteration 3: 144 ms
  Iteration 4: 143 ms
  Iteration 5: 144 ms
  Iteration 6: 143 ms
  Iteration 7: 143 ms
  Iteration 8: 144 ms
  Iteration 9: 144 ms
  Iteration 10: 144 ms
  Iteration 11: 143 ms
  Iteration 12: 144 ms
  Iteration 13: 144 ms
  Iteration 14: 144 ms
  Iteration 15: 143 ms
  Iteration 16: 144 ms
  Iteration 17: 143 ms
  Iteration 18: 144 ms
  Iteration 19: 143 ms
  Iteration 20: 142 ms
  Iteration 21: 143 ms
  Iteration 22: 144 ms
  Iteration 23: 143 ms
  Iteration 24: 143 ms
  Iteration 25: 144 ms
  Iteration 26: 144 ms
  Iteration 27: 143 ms
  Iteration 28: 143 ms
  Iteration 29: 144 ms
  Iteration 30: 144 ms
  Iteration 31: 143 ms
  Iteration 32: 143 ms
  Iteration 33: 144 ms
  Iteration 34: 143 ms
  Iteration 35: 144 ms
  Iteration 36: 143 ms
  Iteration 37: 144 ms
  Iteration 38: 144 ms
  Iteration 39: 144 ms
  Iteration 40: 144 ms
  Iteration 41: 144 ms
  Iteration 42: 144 ms
  Iteration 43: 144 ms
  Iteration 44: 143 ms
  Iteration 45: 143 ms
  Iteration 46: 144 ms
  Iteration 47: 143 ms
  Iteration 48: 143 ms
  Iteration 49: 143 ms
  Iteration 50: 144 ms
  Iteration 51: 143 ms
  Iteration 52: 144 ms
  Iteration 53: 143 ms
  Iteration 54: 144 ms
  Iteration 55: 144 ms
  Iteration 56: 144 ms
  Iteration 57: 144 ms
  Iteration 58: 143 ms
  Iteration 59: 143 ms
  Iteration 60: 144 ms
  Iteration 61: 143 ms
  Iteration 62: 144 ms
  Iteration 63: 144 ms
  Iteration 64: 144 ms
  Iteration 65: 143 ms
  Iteration 66: 143 ms
  Iteration 67: 143 ms
  Iteration 68: 143 ms
  Iteration 69: 144 ms
  Iteration 70: 144 ms
  Iteration 71: 144 ms
  Iteration 72: 143 ms
  Iteration 73: 143 ms
  Iteration 74: 143 ms
  Iteration 75: 144 ms
  Iteration 76: 144 ms
  Iteration 77: 144 ms
  Iteration 78: 144 ms
  Iteration 79: 143 ms
  Iteration 80: 144 ms
  Iteration 81: 144 ms
  Iteration 82: 144 ms
  Iteration 83: 143 ms
  Iteration 84: 143 ms
  Iteration 85: 144 ms
  Iteration 86: 144 ms
  Iteration 87: 144 ms
  Iteration 88: 143 ms
  Iteration 89: 144 ms
  Iteration 90: 143 ms
  Iteration 91: 144 ms
  Iteration 92: 144 ms
  Iteration 93: 144 ms
  Iteration 94: 143 ms
  Iteration 95: 144 ms
  Iteration 96: 143 ms
  Iteration 97: 144 ms
  Iteration 98: 144 ms
  Iteration 99: 143 ms
  Iteration 100: 144 ms
  Iteration 101: 144 ms
  Iteration 102: 144 ms
  Iteration 103: 144 ms
  Iteration 104: 144 ms
  Iteration 105: 143 ms
  Iteration 106: 144 ms
  Iteration 107: 144 ms
  Iteration 108: 144 ms
  Iteration 109: 143 ms
  Iteration 110: 144 ms
  Iteration 111: 143 ms
  Iteration 112: 143 ms
  Iteration 113: 144 ms
  Iteration 114: 143 ms
  Iteration 115: 143 ms
  Iteration 116: 144 ms
  Iteration 117: 144 ms
  Iteration 118: 143 ms
  Iteration 119: 144 ms
  Iteration 120: 144 ms
  Iteration 121: 144 ms
  Iteration 122: 144 ms
  Iteration 123: 144 ms
  Iteration 124: 144 ms
  Iteration 125: 143 ms
  Iteration 126: 144 ms
  Iteration 127: 143 ms
  Iteration 128: 143 ms
  Iteration 129: 144 ms
  Iteration 130: 143 ms
  Iteration 131: 144 ms
  Iteration 132: 143 ms
  Iteration 133: 144 ms
  Iteration 134: 143 ms
  Iteration 135: 143 ms
  Iteration 136: 144 ms
  Iteration 137: 144 ms
  Iteration 138: 144 ms
  Iteration 139: 143 ms
  Iteration 140: 144 ms
  Iteration 141: 144 ms
  Iteration 142: 143 ms
  Iteration 143: 144 ms
  Iteration 144: 143 ms
  Iteration 145: 144 ms
  Iteration 146: 144 ms
  Iteration 147: 144 ms
  Iteration 148: 144 ms
  Iteration 149: 143 ms
  Iteration 150: 144 ms
  Iteration 151: 144 ms
  Iteration 152: 143 ms
  Iteration 153: 144 ms
  Iteration 154: 143 ms
  Iteration 155: 143 ms
  Iteration 156: 143 ms
  Iteration 157: 144 ms
  Iteration 158: 143 ms
  Iteration 159: 143 ms
  Iteration 160: 143 ms
  Iteration 161: 143 ms
  Iteration 162: 143 ms
  Iteration 163: 144 ms
  Iteration 164: 143 ms
  Iteration 165: 144 ms
  Iteration 166: 144 ms
  Iteration 167: 143 ms
  Iteration 168: 144 ms
  Iteration 169: 143 ms
  Iteration 170: 143 ms
  Iteration 171: 144 ms
  Iteration 172: 144 ms
  Iteration 173: 144 ms
  Iteration 174: 143 ms
  Iteration 175: 143 ms
  Iteration 176: 144 ms
  Iteration 177: 144 ms
  Iteration 178: 143 ms
  Iteration 179: 143 ms
  Iteration 180: 143 ms
  Iteration 181: 143 ms
  Iteration 182: 143 ms
