===== ESP32 BENCHMARK RESULTS =====
WiFi RSSI: -31 dBm
Free Heap: 217720 bytes

Running Data Send Roundtrip benchmark...
  Iteration 1: 2529 ms (HTTP 200)
  Iteration 2: 513 ms (HTTP 200)
  Iteration 3: 513 ms (HTTP 200)
  Iteration 4: 514 ms (HTTP 200)
  Iteration 5: 513 ms (HTTP 200)
  Iteration 6: 514 ms (HTTP 200)
  Iteration 7: 453 ms (HTTP 200)
  Iteration 8: 573 ms (HTTP 200)
  Iteration 9: 513 ms (HTTP 200)
  Iteration 10: 613 ms (HTTP 200)
  Iteration 11: 613 ms (HTTP 200)
  Iteration 12: 514 ms (HTTP 200)
  Iteration 13: 613 ms (HTTP 200)
  Iteration 14: 513 ms (HTTP 200)
  Iteration 15: 513 ms (HTTP 200)
  Iteration 16: 513 ms (HTTP 200)
  Iteration 17: 544 ms (HTTP 200)
  Iteration 18: 583 ms (HTTP 200)
  Iteration 19: 613 ms (HTTP 200)
  Iteration 20: 653 ms (HTTP 200)
  Iteration 21: 473 ms (HTTP 200)
  Iteration 22: 534 ms (HTTP 200)
  Iteration 23: 603 ms (HTTP 200)
  Iteration 24: 1733 ms (HTTP 200)
  Iteration 25: 613 ms (HTTP 200)
  Iteration 26: 623 ms (HTTP 200)
  Iteration 27: 513 ms (HTTP 200)
  Iteration 28: 514 ms (HTTP 200)
  Iteration 29: 813 ms (HTTP 200)
  Iteration 30: 724 ms (HTTP 200)
  Iteration 31: 613 ms (HTTP 200)
  Iteration 32: 613 ms (HTTP 200)
  Iteration 33: 613 ms (HTTP 200)
  Iteration 34: 513 ms (HTTP 200)
  Iteration 35: 513 ms (HTTP 200)
  Iteration 36: 613 ms (HTTP 200)
  Iteration 37: 1233 ms (HTTP 200)
  Iteration 38: 713 ms (HTTP 200)
  Iteration 39: 514 ms (HTTP 200)
  Iteration 40: 723 ms (HTTP 200)
  Iteration 41: 613 ms (HTTP 200)
  Iteration 42: 613 ms (HTTP 200)
  Iteration 43: 713 ms (HTTP 200)
  Iteration 44: 623 ms (HTTP 200)
  Iteration 45: 533 ms (HTTP 200)
  Iteration 46: 534 ms (HTTP 200)
  Iteration 47: 563 ms (HTTP 200)
  Iteration 48: 823 ms (HTTP 200)
  Iteration 49: 1943 ms (HTTP 200)
  Iteration 50: 625 ms (HTTP 200)
  Iteration 51: 503 ms (HTTP 200)
  Iteration 52: 923 ms (HTTP 200)
  Iteration 53: 513 ms (HTTP 200)
  Iteration 54: 513 ms (HTTP 200)
  Iteration 55: 513 ms (HTTP 200)
  Iteration 56: 623 ms (HTTP 200)
  Iteration 57: 503 ms (HTTP 200)
  Iteration 58: 513 ms (HTTP 200)
  Iteration 59: 614 ms (HTTP 200)
  Iteration 60: 514 ms (HTTP 200)
  Iteration 61: 514 ms (HTTP 200)
  Iteration 62: 613 ms (HTTP 200)
  Iteration 63: 2464 ms (HTTP 200)
  Iteration 64: 713 ms (HTTP 200)
  Iteration 65: 513 ms (HTTP 200)
  Iteration 66: 513 ms (HTTP 200)
  Iteration 67: 613 ms (HTTP 200)
  Iteration 68: 1333 ms (HTTP 200)
  Iteration 69: 614 ms (HTTP 200)
  Iteration 70: 513 ms (HTTP 200)
  Iteration 71: 1433 ms (HTTP 200)
  Iteration 72: 2664 ms (HTTP 200)
  Iteration 73: 613 ms (HTTP 200)
  Iteration 74: 513 ms (HTTP 200)
  Iteration 75: 2364 ms (HTTP 200)
  Iteration 76: 5013 ms (Error: read Timeout)
  Iteration 77: 5573 ms (Error: read Timeout)
  Iteration 78: 5598 ms (Error: read Timeout)
  Iteration 79: 5582 ms (Error: read Timeout)
  Iteration 80: 5580 ms (Error: read Timeout)
  Iteration 81: 1223 ms (HTTP 200)
  Iteration 82: 213 ms (HTTP 200)
  Iteration 83: 213 ms (HTTP 200)
  Iteration 84: 713 ms (HTTP 200)
  Iteration 85: 303 ms (HTTP 200)
  Iteration 86: 203 ms (HTTP 200)
  Iteration 87: 213 ms (HTTP 200)
  Iteration 88: 203 ms (HTTP 200)
  Iteration 89: 213 ms (HTTP 200)
  Iteration 90: 203 ms (HTTP 200)
  Iteration 91: 203 ms (HTTP 200)
  Iteration 92: 713 ms (HTTP 200)
  Iteration 93: 1133 ms (HTTP 200)
  Iteration 94: 203 ms (HTTP 200)
  Iteration 95: 313 ms (HTTP 200)
  Iteration 96: 303 ms (HTTP 200)
  Iteration 97: 213 ms (HTTP 200)
  Iteration 98: 303 ms (HTTP 200)
  Iteration 99: 513 ms (HTTP 200)
  Iteration 100: 243 ms (HTTP 200)

[Data Send Roundtrip] (100 iterations)
  Min: 203 ms | Max: 5598 ms | Avg: 912 ms


===== BENCHMARK COMPLETE =====
