===== ESP32 BENCHMARK RESULTS =====
WiFi RSSI: -53 dBm
Free Heap: 221516 bytes

Running TLS Handshake benchmark...
  Iteration 1: 599 ms
  Iteration 2: 596 ms
  Iteration 3: 598 ms
  Iteration 4: 611 ms
  Iteration 5: 581 ms
  Iteration 6: 579 ms
  Iteration 7: 573 ms
  Iteration 8: 582 ms
  Iteration 9: 575 ms
  Iteration 10: 584 ms
  Iteration 11: 592 ms
  Iteration 12: 581 ms
  Iteration 13: 568 ms
  Iteration 14: 582 ms
  Iteration 15: 567 ms
  Iteration 16: 578 ms
  Iteration 17: 581 ms
  Iteration 18: 566 ms
  Iteration 19: 567 ms
  Iteration 20: 578 ms
  Iteration 21: 570 ms
  Iteration 22: 585 ms
  Iteration 23: 573 ms
  Iteration 24: 569 ms
  Iteration 25: 576 ms
  Iteration 26: 578 ms
  Iteration 27: 581 ms
  Iteration 28: 570 ms
  Iteration 29: 601 ms
  Iteration 30: 569 ms
  Iteration 31: 570 ms
  Iteration 32: 570 ms
  Iteration 33: 569 ms
  Iteration 34: 573 ms
  Iteration 35: 566 ms
  Iteration 36: 574 ms
  Iteration 37: 568 ms
  Iteration 38: 582 ms
  Iteration 39: 583 ms
  Iteration 40: 573 ms
  Iteration 41: 567 ms
  Iteration 42: 587 ms
  Iteration 43: 581 ms
  Iteration 44: 592 ms
  Iteration 45: 579 ms
  Iteration 46: 623 ms
  Iteration 47: 576 ms
  Iteration 48: 583 ms
  Iteration 49: 576 ms
  Iteration 50: 574 ms
  Iteration 51: 582 ms
  Iteration 52: 780 ms
  Iteration 53: 586 ms
  Iteration 54: 577 ms
  Iteration 55: 606 ms
  Iteration 56: 580 ms
  Iteration 57: 592 ms
  Iteration 58: 575 ms
  Iteration 59: 587 ms
  Iteration 60: 579 ms
  Iteration 61: 569 ms
  Iteration 62: 611 ms
  Iteration 63: 586 ms
  Iteration 64: 571 ms
  Iteration 65: 581 ms
  Iteration 66: 574 ms
  Iteration 67: 751 ms
  Iteration 68: 571 ms
  Iteration 69: 578 ms
  Iteration 70: 566 ms
  Iteration 71: 561 ms
  Iteration 72: 576 ms
  Iteration 73: 582 ms
  Iteration 74: 575 ms
  Iteration 75: 579 ms
  Iteration 76: 572 ms
  Iteration 77: 579 ms
  Iteration 78: 563 ms
  Iteration 79: 578 ms
  Iteration 80: 601 ms
  Iteration 81: 568 ms
  Iteration 82: 572 ms
  Iteration 83: 597 ms
  Iteration 84: 601 ms
  Iteration 85: 570 ms
  Iteration 86: 604 ms
  Iteration 87: 571 ms
  Iteration 88: 569 ms
  Iteration 89: 579 ms
  Iteration 90: 570 ms
  Iteration 91: 574 ms
  Iteration 92: 582 ms
  Iteration 93: 573 ms
  Iteration 94: 568 ms
  Iteration 95: 573 ms
  Iteration 96: 570 ms
  Iteration 97: 567 ms
  Iteration 98: 583 ms
  Iteration 99: 571 ms
  Iteration 100: 617 ms

[TLS Handshake] (100 iterations)
  Min: 561 ms | Max: 780 ms | Avg: 583 ms


===== BENCHMARK COMPLETE =====
